"year","country","component","average","p","thr","topsh","topavg","bracketavg","b"
,"","",,0.5,1.65843437637446e-12,0.571740605281336,27134.7229534735,0,16361650083974600
,"","",,0.51,1.69160306390194e-12,0.571740605281336,27688.4928096668,0,16368197362919766
,"","",,0.52,1.72477175142943e-12,0.571740605281336,28265.3364098682,0,16387870677057892
,"","",,0.53,1.75794043895692e-12,0.571740605281336,28866.7265462484,0,16420764837389202
,"","",,0.54,1.79110912648441e-12,0.571740605281336,29494.2640798625,0,16467039134434986
,"","",,0.55,9.1213890700595e-13,0.571740605281336,30149.6921705261,0,33053838553484044
,"","",,0.56,9.28723250769695e-13,0.571740605281336,30834.9124471289,0,33201400332740672
,"","",,0.57,9.4530759453344e-13,0.571740605281336,31552.0034342715,0,33377499151314976
,"","",,0.58,9.61891938297184e-13,0.571740605281336,32303.2416112779,0,33583025623921592
,"","",,0.59,9.78476282060929e-13,0.571740605281336,33091.1255530164,0,33819036965635796
,"","",,0.6,9.95060625824673e-13,0.571740605281336,33918.4036918418,0,34086771008280416
,"","",,0.61,1.01164496958842e-12,0.571740605281336,34788.106350607,0,34387663060055912
,"","",,0.62,1.02822931335216e-12,0.571740605281336,35703.5828335177,0,34723366052577668
,"","",,0.63,1.04481365711591e-12,0.571740605281336,36668.5445317209,0,35095774525900040
,"","",,0.64,1.06139800087965e-12,0.571740605281336,37687.1152131576,0,35507053133625432
,"","",,0.65,1.0779823446434e-12,0.571740605281336,38763.8899335335,0,35959670514229888
,"","",,0.66,1.09456668840714e-12,0.571740605281336,39904.0043433433,0,36456439581048576
,"","",,0.67,1.11115103217089e-12,0.571740605281336,41113.2165961719,0,37000565544944824
,"","",,0.68,1.12773537593463e-12,0.571740605281336,42398.0046148023,0,37595703317956344
,"","",,0.69,1.14431971969837e-12,0.571740605281336,43765.6821830217,0,38246026376752232
,"","",,0.7,1.16090406346212e-12,0.571740605281336,45224.5382557891,0,38956309723749056
,"","",,0.71,1.17748840722586e-12,0.571740605281336,46784.0050921956,0,39732030315625536
,"","",,0.72,1.19407275098961e-12,0.571740605281336,48454.8624169169,0,40579489295571928
,"","",,0.73,1.21065709475335e-12,0.571740605281336,50249.4869508768,0,41505961653918312
,"","",,0.74,1.2272414385171e-12,0.571740605281336,52182.1595259105,0,42519880675609664
,"","",,0.75,1.24382578228084e-12,0.571740605281336,54269.4459069469,0,43631066890598928
,"","",,0.76,1.26041012604459e-12,0.571740605281336,56530.6728197364,0,44851014484579488
,"","",,0.77,1.27699446980833e-12,0.571740605281336,58988.5281597249,0,46193252636856584
,"","",,0.78,1.29357881357208e-12,0.571740605281336,61669.8248942579,0,47673805605986608
,"","",,0.79,1.31016315733582e-12,0.571740605281336,64606.4832225559,0,49311784460441832
